frame,idx,x,y,z
1,0,0.058390,0.000000,0.099520
1,1,0.068848,0.000000,0.105701
1,2,0.081509,0.000000,0.109069
1,3,0.094633,0.000000,0.110608
1,4,0.107634,0.000000,0.109063
1,5,0.120075,0.000000,0.105399
1,6,0.129349,0.000000,0.095959
1,7,0.130916,0.000000,0.083489
1,8,0.133034,0.000000,0.077553
1,9,0.139421,0.000000,0.076249
1,10,0.130750,0.000000,0.067320
2,0,0.062224,0.000000,0.095523
2,1,0.069451,0.000000,0.104161
2,2,0.081882,0.000000,0.107426
2,3,0.094887,0.000000,0.108403
2,4,0.107953,0.000000,0.107213
2,5,0.120662,0.000000,0.104149
2,6,0.129788,0.000000,0.095293
2,7,0.132217,0.000000,0.083341
2,8,0.132614,0.000000,0.075564
2,9,0.139915,0.000000,0.077270
2,10,0.132051,0.000000,0.067199
3,0,0.062224,0.000000,0.095523
3,1,0.068260,0.000000,0.103338
3,2,0.079244,0.000000,0.106449
3,3,0.090628,0.000000,0.107023
3,4,0.102028,0.000000,0.106852
3,5,0.113252,0.000000,0.104901
3,6,0.124239,0.000000,0.101894
3,7,0.132310,0.000000,0.094273
3,8,0.134522,0.000000,0.083810
3,9,0.140685,0.000000,0.075682
3,10,0.132393,0.000000,0.068078
4,0,0.063661,0.000000,0.094024
4,1,0.073080,0.000000,0.101973
4,2,0.087182,0.000000,0.105784
4,3,0.101481,0.000000,0.108568
4,4,0.115988,0.000000,0.108642
4,5,0.129915,0.000000,0.104159
4,6,0.138081,0.000000,0.093730
4,7,0.133598,0.000000,0.080152
4,8,0.132741,0.000000,0.072987
4,9,0.141148,0.000000,0.078868
4,10,0.132872,0.000000,0.067578
5,0,0.062977,0.000000,0.092267
5,1,0.072298,0.000000,0.091497
5,2,0.079328,0.000000,0.100490
5,3,0.091835,0.000000,0.105139
5,4,0.104355,0.000000,0.109759
5,5,0.117493,0.000000,0.110879
5,6,0.130617,0.000000,0.108791
5,7,0.140504,0.000000,0.100045
5,8,0.139943,0.000000,0.087460
5,9,0.141289,0.000000,0.077660
5,10,0.132872,0.000000,0.067578
6,0,0.064757,0.000000,0.091647
6,1,0.075182,0.000000,0.096318
6,2,0.087034,0.000000,0.099688
6,3,0.099172,0.000000,0.101914
6,4,0.111017,0.000000,0.104817
6,5,0.123311,0.000000,0.104878
6,6,0.135495,0.000000,0.103197
6,7,0.143105,0.000000,0.094220
6,8,0.140067,0.000000,0.083183
6,9,0.142991,0.000000,0.074557
6,10,0.133351,0.000000,0.067079
7,0,0.059828,0.000000,0.098021
7,1,0.065129,0.000000,0.101547
7,2,0.068948,0.000000,0.109489
7,3,0.082489,0.000000,0.108664
7,4,0.096032,0.000000,0.107408
7,5,0.109533,0.000000,0.105912
7,6,0.122162,0.000000,0.101327
7,7,0.133053,0.000000,0.094197
7,8,0.135678,0.000000,0.081739
7,9,0.141633,0.000000,0.076590
7,10,0.132051,0.000000,0.067199
